"hh_id","club_id","tag_club","d_strat1","d_strat2","d_strat3","d_strat4","d_strat5","d_strat6","d_strat7","d_strat8","d_strat9","d_strat10","d_strat11","d_strat12","d_strat13","d_strat14","d_strat15","d_strat16","d_strat17","d_strat18","d_strat19","data_bline","data_svyeline","treatment","t_any","t_anycom","t_anyord","t_com_noR","t_com_RPri","t_com_RPub","t_ord_noR","t_ord_RPri","t_ord_RPub","bl_d_female","bl_d_married","bl_age_099","bl_eduyrs_099","bl_hhnum_099","bl_asset_pca_199","bl_livest_pca_199","bl_acre_adj_099","bl_d_anyformalacc","bl_totsavcash_099","bl_d_hyper","bl_d_hypo","bl_transNet_199","bl_inpexp_099","bl_salecrop_099","bl_mi_d_hyper","bl_mi_totsavcash","clubsize","bl_savcash_099","bl_savform_099","trans_d_any","trans_dep_total_PRE","trans_dep_ord_PRE","trans_dep_splan_PRE","trans_dep_oth_PRE","trans_with_total_PRE","net_total_PRE","net_total_NOVDEC09","net_total_JANAPR10","bal_total_o22","bal_ordkasup_o22","bal_splan_o22","bal_oth_o22","el_landcult_099","el_input_val_099","el_maizetobasale_099","el_mainoutput_099","el_farmprofit_199","el_exp30_099","el_hhsize","el_tobacloan","el_tr_made","el_tr_received","el_tr_net","el_d_fixeddep","d_elineattrit1","has_anyActive_o22"
9,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,30,7,4,-1.75143897533417,-0.696755051612854,2.5,1,500,0,1,50,0,25000,0,0,10,0,500,0,0,0,0,0,0,0,0,0,500,500,0,0,2.5,7900,30450,60476.2890625,52576.2890625,7000,4,0,1700,2950,-1250,0,0,1
8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,1,0,0,0,0,0,0,1,38,7,8,-0.22487211227417,-0.868424713611603,3,1,584,0,1,500,0,167000,0,0,10,0,584,0,7.89000034332275,7.89000034332275,0,0,0,7.89000034332275,1.98000001907349,3.91000008583069,591,591,0,0,,,,,,,,,,,,,1,1
12,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,26,10,3,-0.180017650127411,-0.712171256542206,2.75,1,1500,0,1,5000,10000,110000,0,0,10,0,1500,0,0,0,0,0,0,0,0,0,500,500,0,0,2,3700,48600,63514.23828125,59814.23828125,5800,4,0,1550,2600,-1050,0,0,1
14,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,46,8,8,-0.268395334482193,-0.0458351448178291,6.75,1,1500,0,1,1200,14000,82000,0,0,10,0,1500,0,7.01999998092651,7.01999998092651,0,0,0,7.01999998092651,1.76999998092651,3.48000001907349,525,525,0,0,6,82026.9765625,153000,221813.671875,139786.6875,74000,8,113000,5200,2600,2600,0,0,1
10,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,44,5,6,-0.75574791431427,-0.195609018206596,4,1,500,0,0,450,0,200000,0,0,10,0,500,0,0,0,0,0,0,0,0,0,500,500,0,0,3,20000,56000,93687.2265625,73687.2265625,9000,7,0,5000,1600,3400,0,0,1
13,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,29,8,3,-0.358976542949677,-0.0239393580704927,3.5,1,1500,0,1,-50,0,108000,0,0,10,0,1500,0,0,0,0,0,0,0,0,0,500,500,0,0,8.25,35100,216300,305208.25,270108.25,20500,5,0,9000,3000,6000,0,0,1
11,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,67,0,3,0.399069160223007,-0.560844123363495,3.75,1,2000,0,1,1300,8000,76000,0,0,10,0,2000,0,0.430000007152557,0.430000007152557,0,0,-400,-399.570007324219,0,0,57,57,0,0,4.98999977111816,7700,180000,241288.28125,233588.28125,16000,3,0,0,1250,-1250,0,0,1
2254,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,56,7,9,-1.02644097805023,-0.285988330841064,9,0,0,0,0,15600,0,156000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1700,10000,22271.4453125,20571.4453125,2000,10,0,500,0,500,0,0,0
2250,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,39,8,6,0.27866867184639,0.222359552979469,6.09999990463257,0,0,1,0,5000,17600,287000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27100,90000,128704.328125,101604.328125,6800,6,0,15000,4000,11000,0,0,0
2257,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0,7,0.316514104604721,1.41445827484131,5.80000019073486,0,0,0,0,3100,42230,100000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,6000,76000,126111.5625,120111.5625,9500,6,0,700,6000,-5300,0,0,0
2253,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,35,3,9,1.38200855255127,1.02732741832733,6,1,5000,0,0,2000,34600,280000,0,0,10,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,5000,56000,69955.8203125,64955.8203125,5000,11,0,15000,0,15000,0,0,0
2249,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,22,8,5,-0.428682416677475,-0.527222454547882,12,0,0,0,1,0,28000,350000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3000,50000,58064.1875,55064.1875,5200,2,0,100,1000,-900,0,0,0
2255,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,12,5,1.11415708065033,-0.511893212795258,6.5,1,0,1,0,100,90699,361000,0,1,10,5000,,0,7.16999959945679,7.16999959945679,0,0,0,7.16999959945679,1.79999995231628,3.55999994277954,537,537,0,0,,,,,,,,,,,,,1,1
